year,month,day,hour,day_of_week,dim_tempo_id
2025,1,18,11,7,0
2025,1,27,1,2,1
2025,1,27,14,2,2
2025,1,3,12,6,3
2025,1,4,23,7,4
2025,1,6,15,2,5
2025,1,7,5,3,6
2025,1,11,0,7,7
2025,1,13,15,2,8
2025,1,15,10,4,9
2025,1,23,15,5,10
2025,1,9,2,5,11
2025,1,11,9,7,12
2025,1,19,8,1,13
2025,1,20,19,2,14
2025,1,21,8,3,15
2025,1,24,5,6,16
2025,1,2,23,5,17
2025,1,15,1,4,18
2025,1,19,2,1,19
2025,1,31,15,6,20
2025,1,5,8,1,21
2025,1,11,17,7,22
2025,1,13,10,2,23
2025,1,18,15,7,24
2025,1,27,4,2,25
2025,1,31,10,6,26
2025,1,2,19,5,27
2025,1,6,3,2,28
2025,1,10,1,6,29
2025,1,17,8,6,30
2025,1,27,0,2,31
2025,1,12,0,1,32
2025,1,13,19,2,33
2025,1,14,8,3,34
2025,1,14,9,3,35
2025,1,16,1,5,36
2025,1,17,2,6,37
2025,1,28,15,3,38
2025,1,4,3,7,39
2025,1,5,2,1,40
2025,1,8,3,4,41
2025,1,11,10,7,42
2025,1,15,14,4,43
2025,1,27,21,2,44
2025,1,7,18,3,45
2025,1,8,13,4,46
2025,1,14,1,3,47
2025,1,27,12,2,48
2025,1,4,19,7,49
2025,1,8,8,4,50
2025,1,10,18,6,51
2025,1,29,14,4,52
2025,1,29,22,4,53
2025,1,30,14,5,54
2025,1,5,23,1,55
2025,1,2,16,5,56
2025,1,3,19,6,57
2025,1,5,18,1,58
2025,1,4,14,7,59
2025,1,14,13,3,60
2025,1,26,6,1,61
2025,1,20,12,2,62
2025,1,24,0,6,63
2025,1,27,16,2,64
2025,1,3,22,6,65
2025,1,12,7,1,66
2025,1,16,3,5,67
2025,1,18,5,7,68
2025,1,18,7,7,69
2025,1,25,2,7,70
2025,1,28,9,3,71
2025,1,8,7,4,72
2025,1,26,10,1,73
2025,1,4,16,7,74
2025,1,14,19,3,75
2025,1,15,9,4,76
2025,1,25,21,7,77
2025,1,1,0,4,78
2025,1,4,12,7,79
2025,1,4,13,7,80
2025,1,12,19,1,81
2025,1,13,6,2,82
2025,1,21,16,3,83
2025,1,3,2,6,84
2025,1,7,11,3,85
2025,1,15,13,4,86
2025,1,19,7,1,87
2025,1,25,18,7,88
2025,1,31,22,6,89
2025,1,8,14,4,90
2025,1,25,14,7,91
2025,1,29,16,4,92
2025,1,11,18,7,93
2025,1,14,5,3,94
2025,1,17,19,6,95
2025,1,19,13,1,96
2025,1,29,5,4,97
2025,1,16,8,5,98
2025,1,22,6,4,99
2025,1,30,7,5,100
2025,1,24,4,6,101
2025,1,26,14,1,102
2025,1,2,6,5,103
2025,1,4,15,7,104
2025,1,10,2,6,105
2025,1,22,15,4,106
2025,1,24,11,6,107
2025,1,6,23,2,108
2025,1,7,8,3,109
2025,1,8,2,4,110
2025,1,14,15,3,111
2025,1,3,16,6,112
2025,1,11,16,7,113
2025,1,23,7,5,114
2025,1,24,19,6,115
2025,1,30,0,5,116
2025,1,9,15,5,117
2025,1,13,1,2,118
2025,1,20,21,2,119
2025,1,24,21,6,120
2025,1,2,3,5,121
2025,1,2,7,5,122
2025,1,21,22,3,123
2025,1,10,12,6,124
2025,1,10,21,6,125
2025,1,13,5,2,126
2025,1,22,10,4,127
2025,1,7,1,3,128
2025,1,12,20,1,129
2025,1,25,3,7,130
2025,1,28,20,3,131
2025,1,30,6,5,132
2025,1,1,18,4,133
2025,1,30,16,5,134
2025,1,1,1,4,135
2025,1,9,18,5,136
2025,1,12,3,1,137
2025,1,24,18,6,138
2025,1,29,1,4,139
2025,1,28,18,3,140
2025,1,13,14,2,141
2025,1,30,19,5,142
2025,1,4,21,7,143
2025,1,12,8,1,144
2025,1,22,5,4,145
2025,1,29,23,4,146
2025,1,19,19,1,147
2025,1,22,14,4,148
2025,1,24,17,6,149
2025,1,25,10,7,150
2025,1,25,17,7,151
2025,1,29,8,4,152
2025,1,1,17,4,153
2025,1,20,22,2,154
2025,1,28,8,3,155
2025,1,6,14,2,156
2025,1,14,14,3,157
2025,1,19,6,1,158
2025,1,19,20,1,159
2025,1,1,14,4,160
2025,1,18,10,7,161
2025,1,19,23,1,162
2025,1,20,23,2,163
2025,1,23,11,5,164
2025,1,23,19,5,165
2025,1,5,4,1,166
2025,1,21,0,3,167
2025,1,22,1,4,168
2025,1,27,23,2,169
2025,1,9,22,5,170
2025,1,19,4,1,171
2025,1,2,8,5,172
2025,1,8,21,4,173
2025,1,20,11,2,174
2025,1,21,7,3,175
2025,1,24,16,6,176
2025,1,25,9,7,177
2025,1,10,11,6,178
2025,1,5,9,1,179
2025,1,16,14,5,180
2025,1,27,11,2,181
2025,1,28,14,3,182
2025,1,9,3,5,183
2025,1,18,9,7,184
2025,1,29,21,4,185
2025,1,2,14,5,186
2025,1,3,13,6,187
2025,1,4,7,7,188
2025,1,6,6,2,189
2025,1,7,23,3,190
2025,1,12,16,1,191
2025,1,12,23,1,192
2025,1,16,16,5,193
2025,1,24,10,6,194
2025,1,4,10,7,195
2025,1,17,16,6,196
2025,1,5,5,1,197
2025,1,10,5,6,198
2025,1,19,16,1,199
2025,1,22,18,4,200
2025,1,23,14,5,201
2025,1,11,11,7,202
2025,1,12,2,1,203
2025,1,15,8,4,204
2025,1,23,6,5,205
