passenger_count,trip_distance,trip_duration,fare_amount,tip_amount,tolls_amount,total_amount,dim_tempo_id,dim_pagamento_id,dim_tarifa_id,corrida_id
1,4.2003774,4.1,12.1,0.0,0.0,15.35,669,2,2,0
1,1.3357522,4.8,7.2,1.0,0.0,9.7,277,0,2,1
4,3.0094658,10.03,12.1,0.0,0.0,16.1,160,2,2,2
2,7.3707772,19.58,23.3,5.46,0.0,32.76,650,0,2,3
1,6.614387400000001,22.53,24.7,6.55,0.0,32.75,545,0,2,4
4,4.6831794,23.23,21.94,0.0,0.0,25.94,383,0,2,5
1,2.9450922,10.0,11.4,3.08,0.0,18.48,392,0,2,6
2,1.4966862,7.15,8.6,0.0,0.0,15.1,636,2,2,7
1,1.0138842,3.03,5.8,0.0,0.0,9.8,467,2,2,8
5,4.1520972,13.82,15.6,0.0,0.0,19.6,80,2,2,9
2,5.471756,13.52,18.4,4.5,0.0,26.9,670,0,2,10
2,2.6071308,8.82,11.4,3.28,0.0,19.68,143,0,2,11
1,7.9179528,15.65,22.6,4.0,0.0,31.35,179,0,2,12
5,4.82802,10.52,14.2,4.0,0.0,22.95,586,0,2,13
1,1.6737136000000001,5.22,7.9,0.0,0.0,11.9,254,2,2,14
1,1.2552852,4.77,7.2,2.39,0.0,14.34,640,0,2,15
1,14.001257999999998,22.73,36.6,5.0,6.94,59.29,582,0,2,16
3,1.4162192,5.45,7.2,2.24,0.0,13.44,582,0,2,17
1,3.5405480000000003,10.5,12.1,3.4,0.0,17.0,156,0,2,18
1,2.9289988,9.7,10.7,3.86,0.0,19.31,109,0,2,19
1,1.0621644000000001,7.08,7.9,2.53,0.0,15.18,645,0,2,20
2,2.41401,5.28,8.6,2.87,0.0,17.22,713,0,2,21
1,1.2391918,6.42,7.9,2.38,0.0,14.28,608,0,2,22
1,3.8141358000000003,16.25,16.3,4.06,0.0,24.36,385,0,2,23
1,2.6071308,11.32,12.1,3.87,0.0,23.22,547,0,2,24
1,2.092142,6.28,8.6,3.15,0.0,19.0,633,0,2,25
1,1.3518455999999999,11.88,11.4,4.62,0.0,20.02,658,0,2,26
1,0.9656039999999999,6.52,7.2,2.4,0.0,14.35,658,0,2,27
2,3.3152404,20.1,18.4,2.0,0.0,25.15,658,0,2,28
1,1.4001258,7.73,8.6,2.52,0.0,15.12,300,0,2,29
1,11.426314,25.88,30.3,7.7,0.0,46.25,340,0,2,30
1,2.0599552,9.62,10.7,2.0,0.0,17.45,340,0,2,31
1,20.5512718,58.92,67.4,4.04,6.94,84.88,212,0,2,32
1,6.9201619999999995,30.75,26.1,6.65,0.0,40.0,212,0,2,33
1,5.2947286,24.97,22.6,5.97,0.0,35.82,136,0,2,34
1,25.6367862,37.42,70.0,5.0,6.94,86.69,170,0,4,35
2,2.0599552,4.5,40.25,8.75,0.0,52.5,124,0,1,36
1,0.48280199999999995,2.28,4.4,1.8,0.0,10.95,431,0,2,37
1,9.012303999999999,16.48,25.4,6.0,0.0,36.15,113,0,2,38
1,1.1265379999999998,3.82,5.8,2.64,0.0,13.19,216,0,2,39
1,1.3357522,4.98,7.2,2.33,0.0,15.28,563,0,2,40
1,1.6737136000000001,6.03,7.9,2.73,0.0,16.38,203,0,2,41
1,0.402335,2.43,4.4,2.29,0.0,11.44,81,0,2,42
2,3.9750698000000004,16.07,16.3,5.51,0.0,27.56,129,0,2,43
1,1.8668344,7.13,8.6,2.67,0.0,16.02,454,0,2,44
1,2.8807186000000002,9.87,11.4,3.08,0.0,18.48,288,0,2,45
3,1.1909116,8.15,8.6,2.67,0.0,16.02,682,0,2,46
1,3.1221196,8.43,11.4,3.43,0.0,20.58,355,0,2,47
1,3.7336688,27.3,23.3,7.01,0.0,35.06,363,0,2,48
1,0.28968119999999997,1.85,3.7,1.93,0.0,9.63,111,0,2,49
1,3.3313338,12.18,12.1,3.87,0.0,23.22,434,0,2,50
1,1.689807,5.48,7.9,2.0,0.0,12.4,588,2,2,51
1,1.1104446,2.98,5.8,1.3,0.0,12.1,417,0,2,52
1,13.083934200000002,16.38,32.4,5.0,6.94,56.09,417,0,2,53
